요일,호선,역명,새벽,출근,오전,점심,오후,퇴근,저녁,심야
월요일,1호선,동대문,0.3,0.6,1.0,0.7,1.1,0.7,0.5,0.5
월요일,1호선,동묘앞,0.1,0.4,0.6,0.7,1.1,0.6,0.2,0.2
월요일,1호선,서울역,0.8,4.6,4.3,2.5,3.8,5.0,2.4,1.7
월요일,1호선,시청,0.3,2.8,1.8,0.9,1.6,2.7,1.2,0.8
월요일,1호선,신설동,0.3,1.3,1.0,0.6,1.0,1.3,0.6,0.5
월요일,1호선,제기동,0.2,1.1,1.5,1.3,1.9,1.1,0.5,0.3
월요일,1호선,종각,0.4,4.1,2.8,1.3,2.4,4.2,1.8,1.5
월요일,1호선,종로3가,0.2,1.0,2.0,1.6,2.4,2.1,1.0,0.9
월요일,1호선,종로5가,0.2,1.5,2.1,1.5,2.4,2.1,0.9,0.5
월요일,1호선,청량리(서울시립대입구),0.4,1.5,1.8,1.4,2.2,1.6,0.8,0.6
월요일,2호선,강남,0.8,5.6,6.5,3.0,5.4,7.5,4.6,4.0
월요일,2호선,강변(동서울터미널),0.5,2.3,2.4,1.2,2.0,2.2,1.4,1.1
월요일,2호선,건대입구,0.5,2.2,2.2,1.4,2.6,3.2,2.2,2.4
월요일,2호선,교대(법원.검찰청),0.4,2.7,3.1,1.5,2.5,3.3,1.6,1.3
월요일,2호선,구로디지털단지,1.0,6.1,4.1,1.8,3.1,5.4,3.3,2.5
월요일,2호선,구의(광진구청),0.6,2.3,1.7,0.8,1.6,2.1,1.4,1.2
월요일,2호선,낙성대(강감찬),0.4,2.6,1.9,0.9,1.6,2.2,1.6,1.4
월요일,2호선,당산,0.4,2.0,1.2,0.6,1.1,1.9,1.1,1.0
월요일,2호선,대림(구로구청),0.7,2.2,1.9,1.0,1.8,1.9,1.1,1.1
월요일,2호선,도림천,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0
월요일,2호선,동대문역사문화공원(DDP),0.2,0.9,1.2,0.8,1.4,1.3,0.9,0.8
월요일,2호선,뚝섬,0.3,2.2,1.9,0.8,1.6,2.7,1.3,0.8
월요일,2호선,문래,0.3,2.7,1.6,0.7,1.3,2.6,1.2,0.9
월요일,2호선,방배,0.2,1.5,1.4,0.7,1.3,1.6,0.8,0.7
월요일,2호선,봉천,0.5,2.3,1.7,0.9,1.5,1.8,1.3,1.1
월요일,2호선,사당,0.7,2.9,2.6,1.5,2.7,3.9,2.5,2.4
월요일,2호선,삼성(무역센터),0.5,5.0,4.3,1.7,3.4,5.6,2.8,1.7
월요일,2호선,상왕십리,0.2,1.4,1.0,0.5,0.9,1.2,0.8,0.6
