요일,호선,역명,06시 이전,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시 이후
월요일,1호선,동대문,553,616,1053,1525,1429,1321,1424,1489,1504,1542,1534,1572,1568,1570,1326,996,908,781,477,137
월요일,1호선,동묘앞,143,308,662,1228,848,843,1129,1404,1753,1615,1576,1494,1418,1089,660,419,382,317,168,76
월요일,1호선,서울역,678,2845,6810,13295,8455,5008,5280,5626,5266,4636,5637,6234,9514,12110,6154,4131,3819,2390,1099,210
월요일,1호선,시청,271,1067,3464,8907,3968,1981,1959,1830,1981,1998,2264,2546,4334,7504,2811,2318,2014,1200,416,52
월요일,1호선,신설동,423,733,1942,3620,2017,1318,1248,1296,1391,1309,1471,1732,2389,3299,1608,1052,909,706,366,95
월요일,1호선,제기동,306,716,1763,2912,2083,2146,2484,2654,2827,2867,2727,2628,2439,2464,1351,872,673,486,259,58
월요일,1호선,종각,370,1484,5331,12321,6587,2902,2904,2752,3012,3072,3325,3875,7454,10850,4546,3491,3291,2130,839,95
월요일,1호선,종로3가,242,588,1303,3129,2957,2660,3144,3370,3421,3367,3470,3591,4152,4800,2513,1864,1869,1299,564,120
월요일,1호선,종로5가,209,785,2015,4476,3008,2848,3177,3193,3339,3483,3377,3475,4266,4702,2276,1490,1248,696,267,43
월요일,1호선,청량리(서울시립대입구),571,1112,2720,3876,2623,2399,2759,2930,3026,3110,3243,3291,3310,3792,2254,1468,1250,924,461,124
월요일,2호선,강남,677,2928,8356,15812,14966,7591,5881,5996,7012,7025,7787,8732,13627,19093,12087,8008,8043,6182,2566,609
월요일,2호선,강변(동서울터미널),445,1883,3984,6104,4351,3470,2802,2712,2672,2634,2972,3261,4014,5697,3767,2523,2050,1612,740,212
월요일,2호선,건대입구,637,1416,3210,6191,4169,2826,2676,2952,3184,3243,3598,4263,5719,8218,5593,4131,3987,3596,2049,660
월요일,2호선,교대(법원.검찰청),360,1421,3415,8295,6531,3589,3300,3063,3444,3583,3622,3876,6085,8318,4044,2920,2701,2111,849,233
월요일,2호선,구로디지털단지,1615,2832,9430,17010,9952,4360,3466,3750,4022,3745,4378,5313,8784,14603,8980,5368,4586,3923,1837,593
월요일,2호선,구의(광진구청),578,2198,3618,6433,3549,2027,1672,1798,1855,1831,2224,2848,3681,5536,3636,2342,2079,1807,928,317
월요일,2호선,낙성대(강감찬),530,1429,4352,6797,4218,2360,1902,1967,2017,2001,2319,2582,3660,5916,4334,2855,2502,2196,1192,361
월요일,2호선,당산,423,1179,3072,5473,2572,1430,1264,1313,1369,1294,1537,1922,3266,5189,2868,1920,1763,1471,758,217
월요일,2호선,대림(구로구청),1473,1494,3590,5850,3534,2417,2211,2256,2268,2199,2657,2951,3732,4590,2874,2057,2100,1835,818,230
월요일,2호선,도림천,32,90,294,374,175,129,97,147,121,132,157,174,210,287,176,110,91,61,35,16
월요일,2호선,동대문역사문화공원(DDP),264,541,1246,2527,1779,1648,1623,1690,1697,1820,1981,2230,2654,2973,2285,1657,1440,1137,621,216
월요일,2호선,뚝섬,222,1064,2528,7177,4608,2070,1704,1786,1926,1988,2295,2791,4295,7252,3581,2162,1814,1190,510,141
월요일,2호선,문래,254,1011,3626,8153,3734,1691,1424,1613,1613,1562,1796,2176,3855,7269,3245,1854,1805,1347,610,186
월요일,2호선,방배,213,827,2065,4276,2850,1704,1554,1633,1572,1721,1898,2093,2892,4014,2098,1477,1334,1117,494,153
월요일,2호선,봉천,650,1431,4089,5985,3543,2036,1816,1906,1938,1902,2274,2493,3134,4786,3642,2246,1949,1672,845,302
월요일,2호선,사당,639,2337,5334,7338,4828,3214,3193,3323,3248,3400,3826,4583,6977,10116,6521,4492,4202,3700,1895,584
월요일,2호선,삼성(무역센터),365,2025,6677,15115,10414,4669,3595,3539,4027,4231,4792,5585,10075,14037,7076,4917,3908,2440,729,205
월요일,2호선,상왕십리,255,781,2307,3999,2063,1237,1066,1166,1155,1152,1360,1574,2200,3262,2186,1304,1132,929,481,173
월요일,2호선,서울대입구(관악구청),1353,2264,6471,9804,6626,4133,3388,3549,3796,3688,4236,4777,6427,9878,7167,4708,4278,3897,2049,737
월요일,2호선,서초,238,1180,2925,6035,4414,2363,1766,1679,1809,1916,2217,2351,3722,4919,2398,1595,1476,959,376,94
월요일,2호선,선릉,396,2190,6278,13866,10551,5548,4167,4172,4832,4856,5581,6593,10343,14824,7764,4760,4098,3068,1181,319
월요일,2호선,성수,355,1650,4099,12392,7315,3739,3193,3401,3806,4092,4435,5127,7715,12934,6328,4051,3131,2066,894,308
월요일,2호선,시청,114,908,3473,10188,4315,1748,1757,1652,1844,1878,2091,2378,4887,8026,2980,2202,1896,1167,463,94
월요일,2호선,신답,54,109,298,545,215,121,106,110,114,122,151,197,258,493,312,152,148,114,64,23
월요일,2호선,신당,276,738,1877,3308,1888,1270,1245,1336,1368,1384,1556,1805,2317,3231,2129,1390,1223,1034,550,180
월요일,2호선,신대방,990,1685,4258,6158,3586,2003,1734,1814,1860,1842,2253,2519,3275,4753,3841,2522,2328,2084,1019,376
월요일,2호선,신도림,1742,2964,7686,10535,6106,3932,3792,3912,4068,4027,4605,5215,7372,11136,7059,4693,4020,3307,1834,764
월요일,2호선,신림,1506,3286,8643,12317,7333,4116,3648,3828,3930,3946,4568,5338,6884,10978,8935,5786,5148,4508,2513,910
월요일,2호선,신설동,62,134,411,880,498,353,371,402,437,416,424,438,573,695,366,238,202,156,87,40
월요일,2호선,신정네거리,376,849,2282,2264,1183,835,807,839,823,794,948,1181,1570,2384,1702,902,792,648,352,123
월요일,2호선,신촌,346,1196,3000,5614,5131,3938,3569,3968,4366,4023,4263,4941,6404,7525,4976,3815,3764,3402,1671,435
월요일,2호선,아현,215,619,1751,2496,1390,1004,882,965,962,968,1120,1320,1595,2100,1467,970,815,667,330,110
월요일,2호선,양천구청,235,614,1579,1586,823,558,539,599,575,524,626,755,1064,1567,1170,648,566,452,269,102
월요일,2호선,역삼,394,2151,7753,17474,14088,5756,3556,3388,3874,3781,4393,5285,11250,14466,8085,4565,3872,2531,1020,252
월요일,2호선,영등포구청,335,1169,3426,7432,3346,1763,1686,1732,1786,1826,2051,2374,3635,6553,2997,1943,1686,1247,630,210
월요일,2호선,왕십리(성동구청),292,705,1595,2932,1775,1151,1134,1233,1300,1358,1517,1823,2410,3286,2002,1481,1452,1358,768,261
월요일,2호선,용답,105,175,445,736,490,291,254,282,299,271,313,410,486,652,400,263,276,224,116,53
월요일,2호선,용두(동대문구청),54,108,351,627,323,254,259,252,288,293,325,333,380,568,330,193,174,106,59,24
월요일,2호선,을지로3가,121,929,3478,8142,3619,1814,1683,1628,1787,1826,2004,2458,4759,7261,3079,2115,2036,1550,775,177
월요일,2호선,을지로4가,73,640,1790,3761,2062,1462,1483,1372,1407,1452,1567,1748,3010,3385,1532,951,820,607,316,94
월요일,2호선,을지로입구,193,1374,6228,15476,7399,4180,3640,3498,3882,3922,4362,4989,8743,13919,6502,5398,3869,2919,1226,249
월요일,2호선,이대,165,652,1858,3477,2719,2133,1600,1939,2028,1689,2032,2228,3090,3458,2264,1653,1598,1356,676,193
월요일,2호선,잠실(송파구청),699,3258,8360,14138,10595,6899,6426,6376,6485,6704,7786,9009,12189,17065,11154,8711,7394,5155,2058,468
월요일,2호선,잠실나루,259,1266,2645,3675,2240,1648,1489,1540,1512,1514,1632,2009,2554,2877,1769,1125,953,763,370,124
월요일,2호선,잠실새내,268,1093,3328,4704,3214,2094,1968,2061,2154,2185,2542,2763,3527,4874,3396,2290,1976,1750,828,261
월요일,2호선,종합운동장,105,587,1408,2039,1132,738,651,753,760,800,912,992,1322,1856,977,667,674,659,224,82
월요일,2호선,충정로(경기대입구),160,519,1775,3611,1708,818,776,750,816,789,860,1012,1872,2846,1214,808,748,551,267,91
월요일,2호선,한양대,56,343,725,2838,2478,2019,1094,1908,1565,1485,1598,1801,2520,2231,1094,848,888,634,359,113
월요일,2호선,합정,428,1174,3071,6164,4556,2562,2286,2394,2643,2583,2745,3264,4936,7983,5195,3324,3148,2745,1406,426
월요일,2호선,홍대입구,995,1805,4180,7871,7419,5503,5830,6601,7213,7073,7926,9179,11346,14364,10763,8270,8078,7220,3732,938
월요일,3호선,가락시장,137,530,1418,2099,1162,872,849,870,861,890,1023,1100,1477,2140,1182,768,634,528,224,76
월요일,3호선,경복궁(정부서울청사),151,838,2333,6510,3991,2687,2606,2555,2723,2732,2978,3270,4148,5598,2417,1758,1568,1052,413,90
월요일,3호선,경찰병원,129,477,1438,2341,1233,777,634,611,695,660,736,721,1209,1788,1035,622,510,424,191,60
월요일,3호선,고속터미널,387,1619,2845,4655,5152,5060,5382,5468,5544,6029,6603,6692,7420,7534,5479,4811,3076,1939,764,146
월요일,3호선,교대(법원.검찰청),89,476,1311,2826,2106,1222,1099,1112,1314,1432,1480,1650,2649,3651,1705,1332,1243,984,358,82
월요일,3호선,구파발,564,1906,4593,4431,2533,1925,1852,1884,1886,1954,2140,2580,3046,4083,3301,1912,1594,1302,651,300
월요일,3호선,금호,192,506,1341,1916,1114,713,647,673,687,678,785,912,1159,1612,1140,727,578,511,243,81
월요일,3호선,남부터미널(예술의전당),170,1498,4020,8608,4726,2805,2429,2353,2545,2652,2879,3363,5520,7356,3545,2287,1897,1266,544,131
월요일,3호선,녹번,400,1211,3391,3863,1978,1211,1081,1108,1091,1071,1215,1517,1977,3221,2508,1409,1166,952,473,147
월요일,3호선,대청,199,775,2152,2728,1303,888,785,834,882,879,1176,1242,1778,2337,1460,958,805,751,326,111
월요일,3호선,대치,145,848,2027,2348,1408,1004,920,1043,1147,1164,1389,1657,2173,2398,1708,1033,1106,1667,339,100
