측정시간,구,방문자수,혼잡도점수
월요일,동작구,187006,7.61
수요일,동작구,185974,7.57
화요일,동작구,185591,7.55
목요일,동작구,182120,7.41
토요일,동작구,181993,7.41
금요일,동작구,181781,7.4
일요일,동작구,174508,7.1
월요일,양천구,159251,6.48
금요일,강남구,158211,6.44
토요일,강남구,156148,6.35
금요일,양천구,155480,6.33
화요일,강남구,154234,6.27
월요일,구로구,153226,6.23
화요일,구로구,152587,6.21
화요일,양천구,152430,6.2
수요일,강남구,151640,6.17
금요일,구로구,151571,6.17
월요일,강남구,151331,6.16
목요일,구로구,150801,6.13
목요일,강남구,150738,6.13
수요일,구로구,150170,6.11
수요일,양천구,149555,6.08
목요일,양천구,149474,6.08
토요일,양천구,148546,6.04
토요일,구로구,145104,5.9
일요일,양천구,143810,5.85
일요일,구로구,141488,5.75
일요일,강남구,137881,5.61
월요일,도봉구,118355,4.81
토요일,중구,118049,4.8
토요일,도봉구,115147,4.68
금요일,중구,114969,4.67
금요일,도봉구,114340,4.65
목요일,도봉구,114130,4.64
수요일,도봉구,114017,4.63
화요일,도봉구,113463,4.61
목요일,중구,110487,4.49
금요일,강동구,110398,4.49
일요일,도봉구,110386,4.49
화요일,강동구,110327,4.48
월요일,강동구,110054,4.47
일요일,중구,110046,4.47
화요일,중구,107446,4.37
수요일,강동구,107153,4.35
목요일,강동구,106587,4.33
월요일,중구,104060,4.23
수요일,중구,102740,4.17
토요일,강동구,102509,4.16
월요일,강북구,99271,4.03
화요일,강북구,99225,4.03
일요일,강동구,98135,3.99
금요일,강북구,96950,3.94
목요일,강북구,96035,3.9
수요일,강북구,94669,3.84
토요일,강북구,93853,3.81
화요일,금천구,91263,3.7
월요일,금천구,90936,3.69
금요일,금천구,89767,3.64
일요일,강북구,89742,3.64
수요일,금천구,88951,3.61
목요일,금천구,87437,3.55
금요일,광진구,86732,3.52
월요일,광진구,85105,3.45
토요일,광진구,84910,3.45
수요일,광진구,84708,3.44
목요일,광진구,84369,3.42
화요일,광진구,82902,3.36
월요일,노원구,82860,3.36
일요일,광진구,82591,3.35
목요일,노원구,82489,3.35
토요일,노원구,82243,3.34
금요일,노원구,81947,3.32
수요일,노원구,81706,3.31
화요일,노원구,81521,3.31
일요일,노원구,79669,3.23
월요일,관악구,77788,3.16
토요일,금천구,77768,3.15
금요일,관악구,77703,3.15
토요일,관악구,76515,3.1
화요일,관악구,76362,3.1
목요일,관악구,75586,3.07
